complaint_text,category,priority
Household waste regularly thrown into drain at Ward H by nearby shops,Drainage,Medium
"Trees grown into electric lines near Sector 2, trimming needed urgently",Electrical,Medium
Ongoing problem since days: speed guns needed at Ward A stretch where overspeeding is daily complaint,Traffic,Medium
"Wet and dry waste mixed by residents near water tank, needs awareness drive",Waste Management,Medium
Household waste regularly thrown into drain at school area by nearby shops,Drainage,Medium
Request for composting unit near police station community garden,Waste Management,Low
"Ward representative reporting: municipal water pressure test needed at Ward H, residents getting almost no flow",Water,High
Burning tyres near metro station causing black smoke pollution,Waste Management,High
"Repeated complaint about drain repair work near main market completed poorly, same problem recurring every rain",Drainage,Medium
"Sewage visibly mixing into drinking water line near school area, absolute health emergency",Water,Critical
Electricity meter replaced at near water tank but billing not updated for 5 months,Electrical,Medium
"Trucks reversing on near post office road without helper, hit a scooter yesterday",Traffic,High
Overloaded transformer in near main market sector causing daily power outages,Electrical,High
"Complaint from resident: drain repair work near garbage depot completed poorly, same problem recurring every rain",Drainage,Medium
"Follow-up complaint: water supply has been absent at near bank for 3 days, families buying expensive tankers",Water,High
"School van damaged due to pothole near metro station, parents upset and worried",Roads,Medium
Emergency ambulance stuck 40 minutes in traffic jam near post office signal,Traffic,Critical
"Garbage bin near new colony garden broken, needs replacement",Sanitation,Low
Drain gradient wrong near school area causing water to flow backward onto road,Drainage,Medium
"Damaged water meter leaking continuously at near children's park, causing road waterlogging",Water,High
"Road gutter work left open near housing society, no barricades or lights at night",Roads,High
Leaking underground pipe near college making road surface soft and sinking,Water,High
Municipal cleaner reported absent for 4 days in near river bridge zone,Sanitation,High
Dark lane near government hospital unsafe for women after evening hours,Public Safety,Medium
Open electrical panel near Sector 7 play area accessible to children,Public Safety,Critical
Household garbage bags left on road at near temple road not being picked up for 5 days,Waste Management,High
Leaking underground pipe near garbage depot making road surface soft and sinking,Water,High
Household waste regularly thrown into drain at Sector 9 by nearby shops,Drainage,Medium
"Water available only at odd hours near overbridge, residents missing their work",Water,Medium
Water board complaint number not responding for issue at near temple road,Water,Medium
Leaking underground pipe near Ward B making road surface soft and sinking,Water,High
"Waste compost site near civil hospital not maintained, rotting smell affecting residents",Waste Management,Medium
COVID waste disposal not happening at isolation centre near community hall,Sanitation,Critical
"Heavy vehicles illegally using Sector 7 residential road, damaging surface",Traffic,High
Power cut between 7-9 PM daily near industrial zone residential area,Electrical,Medium
Speed breaker missing warning sign at near sewage treatment plant stretch,Roads,Medium
Electricity meter replaced at near sports complex but billing not updated for 6 months,Electrical,Medium
Exposed underground cable after digging work near water tank bus stand,Electrical,High
Sewer line blocked near primary school causing wet patches in the road surface,Drainage,High
"Road cave-in near petrol pump expanding every day, needs immediate patching",Roads,High
"No zebra crossing near public garden school, students crossing dangerously",Traffic,Medium
Park boundary wall broken at Sector 2 allowing encroachment,Public Safety,Medium
